Test Size,Solver,Alpha,Hidden Layer Size,Score
0.1,lbfgs,1e-09,"( 6.0,1.0)",0.6335877862595419
0.1,lbfgs,1e-09,"( 6.0,2.0)",0.6335877862595419
0.1,lbfgs,1e-09,"( 6.0,3.0)",0.6335877862595419
0.1,lbfgs,1e-09,"( 6.0,4.0)",0.7099236641221374
0.1,lbfgs,1e-09,"( 6.0,5.0)",0.6793893129770993
0.1,lbfgs,1e-09,"( 7.0,1.0)",0.6335877862595419
0.1,lbfgs,1e-09,"( 7.0,2.0)",0.6335877862595419
0.1,lbfgs,1e-09,"( 7.0,3.0)",0.6335877862595419
0.1,lbfgs,1e-09,"( 7.0,4.0)",0.732824427480916
0.1,lbfgs,1e-09,"( 7.0,5.0)",0.6564885496183206
0.1,lbfgs,1e-09,"( 8.0,1.0)",0.6335877862595419
0.1,lbfgs,1e-09,"( 8.0,2.0)",0.6335877862595419
0.1,lbfgs,1e-09,"( 8.0,3.0)",0.6335877862595419
0.1,lbfgs,1e-09,"( 8.0,4.0)",0.7251908396946565
0.1,lbfgs,1e-09,"( 8.0,5.0)",0.7099236641221374
0.1,lbfgs,1e-09,"( 9.0,1.0)",0.6335877862595419
0.1,lbfgs,1e-09,"( 9.0,2.0)",0.6335877862595419
0.1,lbfgs,1e-09,"( 9.0,3.0)",0.7251908396946565
0.1,lbfgs,1e-09,"( 9.0,4.0)",0.6870229007633588
0.1,lbfgs,1e-09,"( 9.0,5.0)",0.7099236641221374
0.1,lbfgs,1e-09,"( 10.0,1.0)",0.6335877862595419
0.1,lbfgs,1e-09,"( 10.0,2.0)",0.6946564885496184
0.1,lbfgs,1e-09,"( 10.0,3.0)",0.6335877862595419
0.1,lbfgs,1e-09,"( 10.0,4.0)",0.6030534351145038
0.1,lbfgs,1e-09,"( 10.0,5.0)",0.6335877862595419
0.1,lbfgs,1e-06,"( 6.0,1.0)",0.6335877862595419
0.1,lbfgs,1e-06,"( 6.0,2.0)",0.6335877862595419
0.1,lbfgs,1e-06,"( 6.0,3.0)",0.6335877862595419
0.1,lbfgs,1e-06,"( 6.0,4.0)",0.7175572519083969
0.1,lbfgs,1e-06,"( 6.0,5.0)",0.6870229007633588
0.1,lbfgs,1e-06,"( 7.0,1.0)",0.6335877862595419
0.1,lbfgs,1e-06,"( 7.0,2.0)",0.6335877862595419
0.1,lbfgs,1e-06,"( 7.0,3.0)",0.6335877862595419
0.1,lbfgs,1e-06,"( 7.0,4.0)",0.7175572519083969
0.1,lbfgs,1e-06,"( 7.0,5.0)",0.7175572519083969
0.1,lbfgs,1e-06,"( 8.0,1.0)",0.6335877862595419
0.1,lbfgs,1e-06,"( 8.0,2.0)",0.6335877862595419
0.1,lbfgs,1e-06,"( 8.0,3.0)",0.6335877862595419
0.1,lbfgs,1e-06,"( 8.0,4.0)",0.6793893129770993
0.1,lbfgs,1e-06,"( 8.0,5.0)",0.7251908396946565
0.1,lbfgs,1e-06,"( 9.0,1.0)",0.6335877862595419
0.1,lbfgs,1e-06,"( 9.0,2.0)",0.6335877862595419
0.1,lbfgs,1e-06,"( 9.0,3.0)",0.6564885496183206
0.1,lbfgs,1e-06,"( 9.0,4.0)",0.7022900763358778
0.1,lbfgs,1e-06,"( 9.0,5.0)",0.7251908396946565
0.1,lbfgs,1e-06,"( 10.0,1.0)",0.6335877862595419
0.1,lbfgs,1e-06,"( 10.0,2.0)",0.7251908396946565
0.1,lbfgs,1e-06,"( 10.0,3.0)",0.6335877862595419
0.1,lbfgs,1e-06,"( 10.0,4.0)",0.6030534351145038
0.1,lbfgs,1e-06,"( 10.0,5.0)",0.6335877862595419
0.1,lbfgs,0.001,"( 6.0,1.0)",0.6335877862595419
0.1,lbfgs,0.001,"( 6.0,2.0)",0.6335877862595419
0.1,lbfgs,0.001,"( 6.0,3.0)",0.6335877862595419
0.1,lbfgs,0.001,"( 6.0,4.0)",0.7251908396946565
0.1,lbfgs,0.001,"( 6.0,5.0)",0.6641221374045801
0.1,lbfgs,0.001,"( 7.0,1.0)",0.6335877862595419
0.1,lbfgs,0.001,"( 7.0,2.0)",0.6335877862595419
0.1,lbfgs,0.001,"( 7.0,3.0)",0.6335877862595419
0.1,lbfgs,0.001,"( 7.0,4.0)",0.7175572519083969
0.1,lbfgs,0.001,"( 7.0,5.0)",0.7022900763358778
0.1,lbfgs,0.001,"( 8.0,1.0)",0.6335877862595419
0.1,lbfgs,0.001,"( 8.0,2.0)",0.6335877862595419
0.1,lbfgs,0.001,"( 8.0,3.0)",0.6335877862595419
0.1,lbfgs,0.001,"( 8.0,4.0)",0.7251908396946565
0.1,lbfgs,0.001,"( 8.0,5.0)",0.648854961832061
0.1,lbfgs,0.001,"( 9.0,1.0)",0.6335877862595419
0.1,lbfgs,0.001,"( 9.0,2.0)",0.6335877862595419
0.1,lbfgs,0.001,"( 9.0,3.0)",0.7251908396946565
0.1,lbfgs,0.001,"( 9.0,4.0)",0.5877862595419847
0.1,lbfgs,0.001,"( 9.0,5.0)",0.7099236641221374
0.1,lbfgs,0.001,"( 10.0,1.0)",0.6335877862595419
0.1,lbfgs,0.001,"( 10.0,2.0)",0.7251908396946565
0.1,lbfgs,0.001,"( 10.0,3.0)",0.6335877862595419
0.1,lbfgs,0.001,"( 10.0,4.0)",0.6259541984732825
0.1,lbfgs,0.001,"( 10.0,5.0)",0.6335877862595419
0.1,sgd,1e-09,"( 6.0,1.0)",0.6335877862595419
0.1,sgd,1e-09,"( 6.0,2.0)",0.6564885496183206
0.1,sgd,1e-09,"( 6.0,3.0)",0.6335877862595419
0.1,sgd,1e-09,"( 6.0,4.0)",0.6641221374045801
0.1,sgd,1e-09,"( 6.0,5.0)",0.6335877862595419
0.1,sgd,1e-09,"( 7.0,1.0)",0.6335877862595419
0.1,sgd,1e-09,"( 7.0,2.0)",0.6335877862595419
0.1,sgd,1e-09,"( 7.0,3.0)",0.6335877862595419
0.1,sgd,1e-09,"( 7.0,4.0)",0.6564885496183206
0.1,sgd,1e-09,"( 7.0,5.0)",0.6335877862595419
0.1,sgd,1e-09,"( 8.0,1.0)",0.6335877862595419
0.1,sgd,1e-09,"( 8.0,2.0)",0.6946564885496184
0.1,sgd,1e-09,"( 8.0,3.0)",0.6335877862595419
0.1,sgd,1e-09,"( 8.0,4.0)",0.6259541984732825
0.1,sgd,1e-09,"( 8.0,5.0)",0.6641221374045801
0.1,sgd,1e-09,"( 9.0,1.0)",0.6335877862595419
0.1,sgd,1e-09,"( 9.0,2.0)",0.6335877862595419
0.1,sgd,1e-09,"( 9.0,3.0)",0.6106870229007634
0.1,sgd,1e-09,"( 9.0,4.0)",0.6412213740458015
0.1,sgd,1e-09,"( 9.0,5.0)",0.6335877862595419
0.1,sgd,1e-09,"( 10.0,1.0)",0.6335877862595419
0.1,sgd,1e-09,"( 10.0,2.0)",0.6183206106870229
0.1,sgd,1e-09,"( 10.0,3.0)",0.6717557251908397
0.1,sgd,1e-09,"( 10.0,4.0)",0.5877862595419847
0.1,sgd,1e-09,"( 10.0,5.0)",0.6259541984732825
0.1,sgd,1e-06,"( 6.0,1.0)",0.6335877862595419
0.1,sgd,1e-06,"( 6.0,2.0)",0.6564885496183206
0.1,sgd,1e-06,"( 6.0,3.0)",0.6335877862595419
0.1,sgd,1e-06,"( 6.0,4.0)",0.6641221374045801
0.1,sgd,1e-06,"( 6.0,5.0)",0.6335877862595419
0.1,sgd,1e-06,"( 7.0,1.0)",0.6335877862595419
0.1,sgd,1e-06,"( 7.0,2.0)",0.6335877862595419
0.1,sgd,1e-06,"( 7.0,3.0)",0.6335877862595419
0.1,sgd,1e-06,"( 7.0,4.0)",0.6564885496183206
0.1,sgd,1e-06,"( 7.0,5.0)",0.6335877862595419
0.1,sgd,1e-06,"( 8.0,1.0)",0.6335877862595419
0.1,sgd,1e-06,"( 8.0,2.0)",0.6946564885496184
0.1,sgd,1e-06,"( 8.0,3.0)",0.6335877862595419
0.1,sgd,1e-06,"( 8.0,4.0)",0.6259541984732825
0.1,sgd,1e-06,"( 8.0,5.0)",0.6641221374045801
0.1,sgd,1e-06,"( 9.0,1.0)",0.6335877862595419
0.1,sgd,1e-06,"( 9.0,2.0)",0.6335877862595419
0.1,sgd,1e-06,"( 9.0,3.0)",0.6106870229007634
0.1,sgd,1e-06,"( 9.0,4.0)",0.6412213740458015
0.1,sgd,1e-06,"( 9.0,5.0)",0.6335877862595419
0.1,sgd,1e-06,"( 10.0,1.0)",0.6335877862595419
0.1,sgd,1e-06,"( 10.0,2.0)",0.6183206106870229
0.1,sgd,1e-06,"( 10.0,3.0)",0.6717557251908397
0.1,sgd,1e-06,"( 10.0,4.0)",0.5877862595419847
0.1,sgd,1e-06,"( 10.0,5.0)",0.6259541984732825
0.1,sgd,0.001,"( 6.0,1.0)",0.6335877862595419
0.1,sgd,0.001,"( 6.0,2.0)",0.6564885496183206
0.1,sgd,0.001,"( 6.0,3.0)",0.6335877862595419
0.1,sgd,0.001,"( 6.0,4.0)",0.6641221374045801
0.1,sgd,0.001,"( 6.0,5.0)",0.6335877862595419
0.1,sgd,0.001,"( 7.0,1.0)",0.6335877862595419
0.1,sgd,0.001,"( 7.0,2.0)",0.6335877862595419
0.1,sgd,0.001,"( 7.0,3.0)",0.6335877862595419
0.1,sgd,0.001,"( 7.0,4.0)",0.6564885496183206
0.1,sgd,0.001,"( 7.0,5.0)",0.6335877862595419
0.1,sgd,0.001,"( 8.0,1.0)",0.6335877862595419
0.1,sgd,0.001,"( 8.0,2.0)",0.6946564885496184
0.1,sgd,0.001,"( 8.0,3.0)",0.6335877862595419
0.1,sgd,0.001,"( 8.0,4.0)",0.6259541984732825
0.1,sgd,0.001,"( 8.0,5.0)",0.6641221374045801
0.1,sgd,0.001,"( 9.0,1.0)",0.6335877862595419
0.1,sgd,0.001,"( 9.0,2.0)",0.6335877862595419
0.1,sgd,0.001,"( 9.0,3.0)",0.6106870229007634
0.1,sgd,0.001,"( 9.0,4.0)",0.6412213740458015
0.1,sgd,0.001,"( 9.0,5.0)",0.6335877862595419
0.1,sgd,0.001,"( 10.0,1.0)",0.6335877862595419
0.1,sgd,0.001,"( 10.0,2.0)",0.6183206106870229
0.1,sgd,0.001,"( 10.0,3.0)",0.6717557251908397
0.1,sgd,0.001,"( 10.0,4.0)",0.5877862595419847
0.1,sgd,0.001,"( 10.0,5.0)",0.6259541984732825
0.1,adam,1e-09,"( 6.0,1.0)",0.6335877862595419
0.1,adam,1e-09,"( 6.0,2.0)",0.6641221374045801
0.1,adam,1e-09,"( 6.0,3.0)",0.648854961832061
0.1,adam,1e-09,"( 6.0,4.0)",0.6335877862595419
0.1,adam,1e-09,"( 6.0,5.0)",0.6335877862595419
0.1,adam,1e-09,"( 7.0,1.0)",0.6335877862595419
0.1,adam,1e-09,"( 7.0,2.0)",0.6335877862595419
