Test Size,C parameter,Kernel String,Degree Int,Gamma,Decision Shape,Score
0.1,1e-09,rbf,1.0,scale,ovo,0.6335877862595419
0.1,1e-09,rbf,1.0,scale,ovr,0.6335877862595419
0.1,1e-09,rbf,1.0,auto,ovo,0.6335877862595419
0.1,1e-09,rbf,1.0,auto,ovr,0.6335877862595419
0.1,1e-09,rbf,2.0,scale,ovo,0.6335877862595419
0.1,1e-09,rbf,2.0,scale,ovr,0.6335877862595419
0.1,1e-09,rbf,2.0,auto,ovo,0.6335877862595419
0.1,1e-09,rbf,2.0,auto,ovr,0.6335877862595419
0.1,1e-09,rbf,3.0,scale,ovo,0.6335877862595419
0.1,1e-09,rbf,3.0,scale,ovr,0.6335877862595419
0.1,1e-09,rbf,3.0,auto,ovo,0.6335877862595419
0.1,1e-09,rbf,3.0,auto,ovr,0.6335877862595419
0.1,1e-09,linear,1.0,scale,ovo,0.6335877862595419
0.1,1e-09,linear,1.0,scale,ovr,0.6335877862595419
0.1,1e-09,linear,1.0,auto,ovo,0.6335877862595419
0.1,1e-09,linear,1.0,auto,ovr,0.6335877862595419
0.1,1e-09,linear,2.0,scale,ovo,0.6335877862595419
0.1,1e-09,linear,2.0,scale,ovr,0.6335877862595419
0.1,1e-09,linear,2.0,auto,ovo,0.6335877862595419
0.1,1e-09,linear,2.0,auto,ovr,0.6335877862595419
0.1,1e-09,linear,3.0,scale,ovo,0.6335877862595419
0.1,1e-09,linear,3.0,scale,ovr,0.6335877862595419
0.1,1e-09,linear,3.0,auto,ovo,0.6335877862595419
0.1,1e-09,linear,3.0,auto,ovr,0.6335877862595419
0.1,1e-09,sigmoid,1.0,scale,ovo,0.6335877862595419
0.1,1e-09,sigmoid,1.0,scale,ovr,0.6335877862595419
0.1,1e-09,sigmoid,1.0,auto,ovo,0.6335877862595419
0.1,1e-09,sigmoid,1.0,auto,ovr,0.6335877862595419
0.1,1e-09,sigmoid,2.0,scale,ovo,0.6335877862595419
0.1,1e-09,sigmoid,2.0,scale,ovr,0.6335877862595419
0.1,1e-09,sigmoid,2.0,auto,ovo,0.6335877862595419
0.1,1e-09,sigmoid,2.0,auto,ovr,0.6335877862595419
0.1,1e-09,sigmoid,3.0,scale,ovo,0.6335877862595419
0.1,1e-09,sigmoid,3.0,scale,ovr,0.6335877862595419
0.1,1e-09,sigmoid,3.0,auto,ovo,0.6335877862595419
0.1,1e-09,sigmoid,3.0,auto,ovr,0.6335877862595419
0.1,1e-06,rbf,1.0,scale,ovo,0.6335877862595419
0.1,1e-06,rbf,1.0,scale,ovr,0.6335877862595419
0.1,1e-06,rbf,1.0,auto,ovo,0.6335877862595419
0.1,1e-06,rbf,1.0,auto,ovr,0.6335877862595419
0.1,1e-06,rbf,2.0,scale,ovo,0.6335877862595419
